Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Get Token,329,394,198,1083,1268,1465,91,1526,0.000%,.22617,0.08,0.05
Config,329,899,259,2313,4411,6414,87,6973,0.000%,.22617,1.23,0.17
Psp List,329,732,267,1885,3141,4334,85,4998,0.000%,.22617,0.36,0.17
Check Status,329,312,177,628,812,1530,84,4184,0.000%,.22637,0.10,0.20
Events New,329,18660,214,825,1119,1365,98,3114349,0.608%,.10540,0.04,0.09
Initiate Order,327,10494,682,1716,2172,6519,310,3115895,0.612%,.10478,0.04,0.13
Create Order,326,19524,211,1019,1383,2307,101,3111939,0.613%,.10449,0.04,0.15
Finalize Order,324,24642,159,772,897,1912,81,2900384,0.926%,.10385,0.04,0.12
Failed Order,321,5789,243,1158,1394,2309,126,1700775,0.312%,.10290,0.03,0.15
Vendrequest ack,320,106465,100146,100375,100564,100780,100083,2103839,0.312%,.10260,0.03,0.09
Itemvendstatus,319,285571,100125,1567492,1587498,1600870,100076,3013986,11.912%,.10568,0.06,0.09
Order vendstatus,281,15814,149,504,781,1266,86,2284795,0.712%,.09629,0.03,0.09
TOTAL,3863,40424,358,100122,100202,1570331,81,3115895,1.320%,1.23667,1.13,1.17
